timestamp_raw,timestamp_iso,price,volume
Jan 09 2015 01: +0,,915.099,74129
Jan 10 2015 01: +0,,537.805,87686
Jan 11 2015 01: +0,,410.475,86192
Jan 12 2015 01: +0,,385.091,65737
Jan 13 2015 01: +0,,357.878,64090
Jan 14 2015 01: +0,,311.341,67710
Jan 15 2015 01: +0,,298.252,63915
Jan 16 2015 01: +0,,264.604,73142
Jan 17 2015 01: +0,,225.945,86983
Jan 18 2015 01: +0,,180.683,90765
Jan 19 2015 01: +0,,189.823,73073
Jan 20 2015 01: +0,,186.059,67436
Jan 21 2015 01: +0,,173.214,65931
Jan 22 2015 01: +0,,163.772,73193
Jan 23 2015 01: +0,,173.792,81161
Jan 24 2015 01: +0,,159.553,84206
Jan 25 2015 01: +0,,133.934,95932
Jan 26 2015 01: +0,,134.469,79298
Jan 27 2015 01: +0,,135.344,77197
Jan 28 2015 01: +0,,131.821,72583
Jan 29 2015 01: +0,,123.964,79614
Jan 30 2015 01: +0,,120.416,96233
Jan 31 2015 01: +0,,116.31,106019
Feb 01 2015 01: +0,,98.366,104071
Feb 02 2015 01: +0,,99.154,89433
Feb 03 2015 01: +0,,104.406,84973
Feb 04 2015 01: +0,,107.836,81762
Feb 05 2015 01: +0,,108.361,78297
Feb 06 2015 01: +0,,105.27,85512
Feb 07 2015 01: +0,,95.886,97339
Feb 08 2015 01: +0,,85.769,101036
Feb 09 2015 01: +0,,81.462,82523
Feb 10 2015 01: +0,,80.598,79492
Feb 11 2015 01: +0,,79.104,79570
Feb 12 2015 01: +0,,79.469,87289
Feb 13 2015 01: +0,,82.206,95512
Feb 14 2015 01: +0,,81.234,100599
Feb 15 2015 01: +0,,73.954,99018
Feb 16 2015 01: +0,,66.433,87867
Feb 17 2015 01: +0,,64.369,85932
Feb 18 2015 01: +0,,66.487,87819
Feb 19 2015 01: +0,,68.847,85550
Feb 20 2015 01: +0,,72.06,95582
Feb 21 2015 01: +0,,69.656,97533
Feb 22 2015 01: +0,,58.597,99335
Feb 23 2015 01: +0,,56.364,90372
Feb 24 2015 01: +0,,62.192,91087
Feb 25 2015 01: +0,,68.602,94915
Feb 26 2015 01: +0,,73.917,87212
Feb 27 2015 01: +0,,77.639,107615
Feb 28 2015 01: +0,,73.896,107988
Mar 01 2015 01: +0,,67.557,103956
Mar 02 2015 01: +0,,67.028,86938
Mar 03 2015 01: +0,,69.493,85271
Mar 04 2015 01: +0,,70.797,78965
Mar 05 2015 01: +0,,68.02,81170
Mar 06 2015 01: +0,,64.736,94547
Mar 07 2015 01: +0,,58.817,105774
Mar 08 2015 01: +0,,53.828,101855
Mar 09 2015 01: +0,,49.527,85613
Mar 10 2015 01: +0,,52.838,82941
Mar 11 2015 01: +0,,54.076,73926
Mar 12 2015 01: +0,,47.113,82693
Mar 13 2015 01: +0,,50.704,97582
Mar 14 2015 01: +0,,47.574,114896
Mar 15 2015 01: +0,,40.153,115346
Mar 16 2015 01: +0,,36.35,95124
Mar 17 2015 01: +0,,38.919,88471
Mar 18 2015 01: +0,,38.902,85070
Mar 19 2015 01: +0,,40.123,91613
Mar 20 2015 01: +0,,41.632,103536
Mar 21 2015 01: +0,,39.284,112947
Mar 22 2015 01: +0,,34.397,109970
Mar 23 2015 01: +0,,32.77,97483
Mar 24 2015 01: +0,,33.161,97454
Mar 25 2015 01: +0,,36.474,106436
Mar 26 2015 01: +0,,39.883,100462
Mar 27 2015 01: +0,,41.054,115380
Mar 28 2015 01: +0,,40.524,123943
Mar 29 2015 01: +0,,37.173,117241
Mar 30 2015 01: +0,,36.367,109534
Mar 31 2015 01: +0,,38.505,112262
Apr 01 2015 01: +0,,42.051,127063
Apr 02 2015 01: +0,,43.298,110801
Apr 03 2015 01: +0,,42.87,113899
Apr 04 2015 01: +0,,40.531,117739
Apr 05 2015 01: +0,,39.15,121149
Apr 06 2015 01: +0,,40.972,111708
Apr 07 2015 01: +0,,39.674,106270
Apr 08 2015 01: +0,,39.76,108838
Apr 09 2015 01: +0,,41.173,108132
Apr 10 2015 01: +0,,40.935,107617
Apr 11 2015 01: +0,,40.737,129525
Apr 12 2015 01: +0,,38.445,114412
Apr 13 2015 01: +0,,37.856,96417
Apr 14 2015 01: +0,,35.496,85543
Apr 15 2015 01: +0,,31.919,91353
Apr 16 2015 01: +0,,23.839,125764
Apr 17 2015 01: +0,,18.742,119586
Apr 18 2015 01: +0,,16.769,139038
Apr 19 2015 01: +0,,14.157,112362
Apr 20 2015 01: +0,,14.587,111936
Apr 21 2015 01: +0,,14.375,97553
Apr 22 2015 01: +0,,14.053,94291
Apr 23 2015 01: +0,,14.09,101250
Apr 24 2015 01: +0,,14.556,114779
Apr 25 2015 01: +0,,14.097,123638
Apr 26 2015 01: +0,,12.306,108597
Apr 27 2015 01: +0,,11.626,96070
Apr 28 2015 01: +0,,11.63,93680
Apr 29 2015 01: +0,,12.26,96990
Apr 30 2015 01: +0,,12.254,113738
May 01 2015 01: +0,,11.637,140549
May 02 2015 01: +0,,12.559,121723
May 03 2015 01: +0,,10.459,102435
May 04 2015 01: +0,,9.591,96830
May 05 2015 01: +0,,9.515,88723
May 06 2015 01: +0,,9.483,85254
May 07 2015 01: +0,,9.386,84765
May 08 2015 01: +0,,9.409,106355
